name,imageUrl,categories,address,description,link,street,city,state,zip,guessedCity
Itiba Beauty,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_33453.webp,Cosmetic & Beauty Supply	 Skin care	 Health & Beauty,St. Croix	 Virgin Islands	 United States,All products are created and manufactured by Yoki K Hanley. itiba also provides custom product development and private labeling. To create your own Caribbean	 skin care brand	 contact us for more information.,http://www.itibabeauty.com,St,Croix,VI,820,Croix
Baku's African Restaurant,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_6883.webp,African Restaurants,197 N Pleasant St 	 Amherst	 Massachusetts	 United States,,,Pleasant,Amherst,MA,1002,Amherst
Fufu’s Beauty Supply,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_29496.webp,Cosmetic & Beauty Supply,945 State Street	 Springfield	 Massachusetts	 United States,,,State,Springfield,MA,1101,Springfield
Johnnie A. Dinkins-Mead Lexus,,Auto Repair	 Car Dealers,28300 Northwesuitern Hwy	 Southfield	 Massachusetts	 United States,Automotive Services,,Northwesuitern,Southfield,MA,1259,Southfield
SOS Auto Repair,,Auto Repair,19632 W. Ten Mile Rd	 Southfield	 Massachusetts	 United States,Automotive Services,,Ten Mile,Southfield,MA,1259,Southfield
Acoustic Java,,Coffee/Tea Shops,932 Main st	 Worcester	 Massachusetts	 United States,,,Main,Worcester,MA,1601,Worcester
Moor Metals	 Inc.,,Insurance,2 Kuniholm Drive 	 Ste 2 	 Holloston	 Massachusetts 1746	 United States,,http://www.moormetals.com,Kuniholm,Holloston,MA,1746,Holloston
Ariba Coffee,,Coffee/Tea Shops,246 Main St	 Hudson	 Massachusetts	 United States,,,Main,Hudson,MA,1749,Hudson
Black Star Fashion Boutique,,Boutique,123 Hillside Street	 Boston	 Massachusetts	 United States,Black Star Fashion Boutique (BSFB) is a new online retail apparel store that caters to people all across the United States. Our focus is to provide high fashion accessories.,www.blackstarfashion.bigcartel.com,Hillside,Boston,MA,2108,Boston
BRED Gourmet,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_27055.webp,American/General	 Burgers	 Juice Bars & Smoothies,2255 Dorchester Ave	 Boston	 Massachusetts 2124	 United States,BRED Gourmet is a new burger-and-smoothie restaurant in Dorchester’s Lower Mills neighborhood. Owned by Tambo Barrow.,http://www.bredgourmet.com,Dorchester,Boston,MA,2108,Boston
City Fresh Foods,,Restaurant,77 Shirley Street	 Boston	 Massachusetts	 United States,,http://www.cityfreshfoods.com/,Shirley,Boston,MA,2108,Boston
Darryl's Corner Bar & Kitchen,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_31832.webp,American/General	 Bars,604 Columbus Ave	 Boston	 Massachusetts 2118	 United States,Laid-back spot for old-fashioned Southern eats & live jazz	 plus a buzzing Sunday brunch.,http://http://www.dcbkboston.com,Columbus,Boston,MA,2108,Boston
Daryl’s Corner Bar and Kitchen,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_32212.webp,American/General	 Bars,604 Columbus Ave	 Boston	 Massachusetts	 United States,A laid-back old-fashioned spot that features live jazz. Located at 604 Columbus Avenue in Boston.,http://www.dcbkboston.com,Columbus,Boston,MA,2108,Boston
Flames Restaurant II,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2053.webp,Caribbean,746 Huntington Ave	 Boston	 Massachusetts	 United States,,http://flamesrestaurant.com/,Huntington,Boston,MA,2108,Boston
